,score,params,iteration,recall,accuracy,triggered,spontaneous
1857,0.8567019081694757,"{'attractor_size': 64, 'background_activity': 14.92588564287872, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.442712623193882, 'e_i_weight': 6.1550234007821, 'i_e_weight': 9.965405372785536, 'i_frequency': 10.601501781774271, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1857,0.8208460469697956,0.8958333333333334,129,15
1979,0.8566476799869653,"{'attractor_size': 64, 'background_activity': 15.209969575649327, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.643415029768615, 'e_i_weight': 5.238360526846403, 'i_e_weight': 9.859242776612566, 'i_frequency': 12.725708309662929, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1979,0.7492420883680012,1.0,103,0
1309,0.8556376815751212,"{'attractor_size': 64, 'background_activity': 15.23065090363415, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 7.135347456808227, 'e_i_weight': 5.628675277916462, 'i_e_weight': 11.986131187258348, 'i_frequency': 10.054261863166543, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1309,0.7600523575707697,0.9787234042553191,92,2
1816,0.8555328982016128,"{'attractor_size': 64, 'background_activity': 14.480735136671239, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.326945845516008, 'e_i_weight': 5.614552148816696, 'i_e_weight': 10.126260950020457, 'i_frequency': 11.018594047801695, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1816,0.7574722437833876,0.9827586206896551,114,2
1851,0.8554129955384019,"{'attractor_size': 64, 'background_activity': 14.994649499727315, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 15.491609169783379, 'e_i_weight': 6.277264409729289, 'i_e_weight': 8.27231755869875, 'i_frequency': 10.908349387658145, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1851,0.7806955434267335,0.9459459459459459,140,8
1678,0.8554076392537667,"{'attractor_size': 64, 'background_activity': 14.311006471788845, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 15.320117226928927, 'e_i_weight': 7.045114957515132, 'i_e_weight': 6.789266392967925, 'i_frequency': 11.916688902755533, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1678,0.7521514037431434,0.9915254237288136,117,1
1893,0.85517561581025,"{'attractor_size': 64, 'background_activity': 13.964472108856468, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.520507970670332, 'e_i_weight': 5.825404856076568, 'i_e_weight': 8.69341853138777, 'i_frequency': 10.032139551012285, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1893,0.7469928380460736,1.0,87,0
1131,0.855061510116229,"{'attractor_size': 64, 'background_activity': 14.543553074141926, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.013001850028989, 'e_i_weight': 6.2461831687864215, 'i_e_weight': 11.810736136387664, 'i_frequency': 10.635637844045341, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1131,0.7468187310246082,1.0,116,0
1439,0.8549921153674485,"{'attractor_size': 64, 'background_activity': 14.779114410211648, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.876358506881337, 'e_i_weight': 4.924678478753046, 'i_e_weight': 13.677463245676092, 'i_frequency': 10.0070618972135, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1439,0.7603947062813363,0.9764705882352941,83,2
1937,0.854528950461012,"{'attractor_size': 64, 'background_activity': 14.625311104199529, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.953468314025631, 'e_i_weight': 6.1091377998715455, 'i_e_weight': 10.232301310469387, 'i_frequency': 10.600385854219288, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1937,0.750964326480346,0.9912280701754386,113,1
