,e_i_weight,background_activity,i_e_weight,e_e_max_weight,i_frequency,cue_percentage,cue_length,num_attractors,attractor_size,network_size,num_cues,f1_score,recall,accuracy,triggered,spontaneous,sweeped
46,2.614993249994118,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.6937427088597127,0.5346006067785,0.9882910102697707,169.0,2.0,2.61
47,2.7277347050589826,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.661448568722375,0.4962240592707226,0.9953631906261259,144.66666666666666,0.6666666666666666,2.73
48,2.7468571274955855,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.6742594213111044,0.510701260462328,0.991984893597378,165.33333333333334,1.3333333333333333,2.75
49,2.8015578917502904,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.6512881338762626,0.4857662614617963,0.9934772829509672,166.33333333333334,1.0,2.80
50,2.935855205839133,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.6252570602463026,0.45705618367053996,0.9924619327604401,136.66666666666666,1.0,2.94
51,3.035773153355514,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.644149737745515,0.4783669851853157,0.9863974663112726,148.0,2.0,3.04
52,3.1964259268524486,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.5954689194215529,0.4242963757054296,1.0,131.66666666666666,0.0,3.20
53,3.2091783716446063,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.5552811615409815,0.385586791172841,0.9946666666666667,108.66666666666667,0.6666666666666666,3.21
54,3.318450490508855,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.5906489168213436,0.4195270496967538,0.9975669099756691,134.66666666666666,0.3333333333333333,3.32
55,3.368042950708653,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.5622154581079875,0.39352243783623014,0.984254179704855,129.0,2.0,3.37
56,3.3887432286545103,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.5711773885521269,0.4017219497344165,0.990818549642079,117.33333333333333,1.0,3.39
