Unnamed: 0,score,params,iteration,recall,accuracy,triggered,spontaneous
684,0.9743149740585451,"{'attractor_size': 64, 'background_activity': 14.256251702637599, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.51603664074372, 'e_i_weight': 4.249960199321222, 'i_e_weight': 5.887875062588236, 'i_frequency': 10.049855021094425, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",684,0.9536137082262286,0.9959349593495936,245,1
1186,0.9738642785703183,"{'attractor_size': 64, 'background_activity': 14.3000825928745, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.383898779947684, 'e_i_weight': 4.408747851033393, 'i_e_weight': 6.213245659677315, 'i_frequency': 10.008898103266342, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1186,0.9520222940316444,0.9967320261437908,305,1
1607,0.9750410060845269,"{'attractor_size': 64, 'background_activity': 12.706734713954514, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.08838268136816, 'e_i_weight': 5.046467395267963, 'i_e_weight': 5.90909506106946, 'i_frequency': 10.863873076422443, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1607,0.9565422808849965,0.994269340974212,347,2
1782,0.971791917671375,"{'attractor_size': 64, 'background_activity': 14.5683773854802, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.915968600154317, 'e_i_weight': 4.377551976397366, 'i_e_weight': 5.027670274776435, 'i_frequency': 10.016362021260754, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1782,0.9451315685736666,1.0,277,0
1833,0.9732705737130926,"{'attractor_size': 64, 'background_activity': 14.501306316141928, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.419641022775354, 'e_i_weight': 4.450148541807566, 'i_e_weight': 5.606573643174432, 'i_frequency': 10.56606110522883, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1833,0.9503351490278659,0.9973404255319148,375,1
1455,0.9748221693368624,"{'attractor_size': 64, 'background_activity': 15.16997571696393, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 8.301148499339158, 'e_i_weight': 4.185634114233075, 'i_e_weight': 5.244903422333752, 'i_frequency': 10.018381673952888, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1455,0.9560463105110547,0.9943502824858758,352,2
1024,0.9757357684224494,"{'attractor_size': 64, 'background_activity': 15.61840145158703, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.76651016620152, 'e_i_weight': 4.194353507996874, 'i_e_weight': 5.426857412903464, 'i_frequency': 10.009640403098436, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1024,0.9595992747098252,0.9924242424242424,262,2
1952,0.9714673855837446,"{'attractor_size': 64, 'background_activity': 14.753613044240044, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.846567578374392, 'e_i_weight': 4.140447141401991, 'i_e_weight': 5.508788915426639, 'i_frequency': 10.581698590340599, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1952,0.9445178227382725,1.0,324,0
1432,0.9744271740609152,"{'attractor_size': 64, 'background_activity': 14.227604837310363, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.749239037839642, 'e_i_weight': 4.266946839310021, 'i_e_weight': 5.523626816173755, 'i_frequency': 10.007912464614217, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1432,0.9554540442084408,0.9941690962099126,341,2
1297,0.9709569969196025,"{'attractor_size': 64, 'background_activity': 13.560797724446266, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.907238586842638, 'e_i_weight': 4.649187560708567, 'i_e_weight': 5.340219702682779, 'i_frequency': 10.886088266087521, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1297,0.9435533733897253,1.0,305,0
