,score,params,iteration,recall,accuracy,triggered,spontaneous
1595,1.32024996179296,"{'attractor_size': 64, 'background_activity': 14.273440316307692, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 16.920230875082474, 'e_i_weight': 4.640166499910755, 'i_e_weight': 5.00337780294437, 'i_frequency': 11.003690862508329, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1595,1.982082665527123,0.9897610921501706,290,3
1715,1.3200459211758269,"{'attractor_size': 64, 'background_activity': 14.818772266080478, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.980021065657827, 'e_i_weight': 4.343869795828343, 'i_e_weight': 5.240377474925306, 'i_frequency': 10.012876154072217, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1715,1.9413751050049552,1.0,254,0
802,1.3199952353618065,"{'attractor_size': 64, 'background_activity': 14.329899504153602, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.611620177925563, 'e_i_weight': 5.064619100105517, 'i_e_weight': 5.402492198741891, 'i_frequency': 10.503910510768112, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",802,1.952747874621517,0.9969512195121951,327,1
1513,1.3199754487542343,"{'attractor_size': 64, 'background_activity': 15.805909259828374, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.948020130155214, 'e_i_weight': 4.747386296453334, 'i_e_weight': 5.631631863394295, 'i_frequency': 10.00937558908964, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1513,1.941070283912714,1.0,243,0
1698,1.3190944284334092,"{'attractor_size': 64, 'background_activity': 15.418645915761571, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.573723022875186, 'e_i_weight': 4.288262884960597, 'i_e_weight': 6.715420115983001, 'i_frequency': 10.06968668633368, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1698,1.9595957653505713,0.9941520467836257,340,2
1088,1.318706139237432,"{'attractor_size': 64, 'background_activity': 15.338752121833062, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.90016996564257, 'e_i_weight': 3.957401656337824, 'i_e_weight': 5.646977508166127, 'i_frequency': 10.546380925050448, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1088,1.9355908150433232,1.0,264,0
753,1.3186339304503907,"{'attractor_size': 64, 'background_activity': 12.392437837364982, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 15.966969414706128, 'e_i_weight': 5.388643999916305, 'i_e_weight': 6.142894828105307, 'i_frequency': 10.045102120647387, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",753,1.9352797114215305,1.0,326,0
1604,1.3186068045385013,"{'attractor_size': 64, 'background_activity': 14.650637363912121, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.714994876355334, 'e_i_weight': 4.385763063837193, 'i_e_weight': 5.944420084016474, 'i_frequency': 11.014346321266451, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1604,1.9351628594491999,1.0,253,0
787,1.3183287716319685,"{'attractor_size': 64, 'background_activity': 13.327696210815224, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.625090926593845, 'e_i_weight': 4.890060725895426, 'i_e_weight': 5.002639522057604, 'i_frequency': 10.052888284322641, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",787,1.9616575086474244,0.9927536231884058,274,2
1418,1.317932431168793,"{'attractor_size': 64, 'background_activity': 15.777700025321714, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.945358656411663, 'e_i_weight': 4.849195230167012, 'i_e_weight': 5.2394819026264114, 'i_frequency': 12.259121834146818, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1418,1.944871542368226,0.9966555183946488,298,1
1590,1.317779799984087,"{'attractor_size': 64, 'background_activity': 15.602161278716807, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.900177790840978, 'e_i_weight': 4.236034126028869, 'i_e_weight': 5.844771197873359, 'i_frequency': 10.548620220938151, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1590,1.9562213708279381,0.9935275080906149,307,2
1145,1.3176656340925048,"{'attractor_size': 64, 'background_activity': 15.250068082995321, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.282182259528934, 'e_i_weight': 3.915090883375747, 'i_e_weight': 6.3988013408007465, 'i_frequency': 10.037473704423203, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1145,1.956130912592731,0.993421052631579,302,2
423,1.3174187104212,"{'attractor_size': 64, 'background_activity': 13.399753799486444, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.829098099540673, 'e_i_weight': 5.4937365718794675, 'i_e_weight': 5.108282906379002, 'i_frequency': 10.020232984329393, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",423,1.9559101923621187,0.9931972789115646,292,2
1294,1.317324484668394,"{'attractor_size': 64, 'background_activity': 15.053947295128525, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.0879670685421, 'e_i_weight': 3.967816136441027, 'i_e_weight': 5.883791629730813, 'i_frequency': 10.518737121316088, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1294,1.9559512713964262,0.9930795847750865,287,2
635,1.3171876949437884,"{'attractor_size': 64, 'background_activity': 14.242905171629204, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.335277306251244, 'e_i_weight': 4.629645788014262, 'i_e_weight': 5.2358706267751565, 'i_frequency': 10.526781122943131, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",635,1.942740240051876,0.9963636363636363,274,1
579,1.3168893686631757,"{'attractor_size': 64, 'background_activity': 12.51171936622796, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.657893216243608, 'e_i_weight': 5.511838220409956, 'i_e_weight': 5.26781267779702, 'i_frequency': 10.022122876107321, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",579,1.9515191349736551,0.9937304075235109,317,2
1228,1.316736941980354,"{'attractor_size': 64, 'background_activity': 14.772844748848593, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 15.868666796943614, 'e_i_weight': 3.924617594657967, 'i_e_weight': 5.00773853994352, 'i_frequency': 11.049989366018643, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1228,1.9271303000000533,1.0,289,0
889,1.3164842499038698,"{'attractor_size': 64, 'background_activity': 14.489673574379546, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.270798881351915, 'e_i_weight': 4.3547849122092614, 'i_e_weight': 7.161780679860321, 'i_frequency': 10.011022954207071, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",889,1.9424572177836175,0.9956331877729258,228,1
1752,1.3162080361294812,"{'attractor_size': 64, 'background_activity': 15.071872220867364, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.59522156517794, 'e_i_weight': 4.487526452140481, 'i_e_weight': 5.015554121386221, 'i_frequency': 10.98003237948503, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1752,1.9248661956763145,1.0,361,0
1485,1.315560845108353,"{'attractor_size': 64, 'background_activity': 15.474805436923905, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.659067440093136, 'e_i_weight': 3.956903462008505, 'i_e_weight': 5.651759190927741, 'i_frequency': 10.026521531946976, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1485,1.9519963871792934,0.9920948616600791,251,2
1818,1.3154494140159794,"{'attractor_size': 64, 'background_activity': 15.355077936269582, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.98077210471323, 'e_i_weight': 3.9542582455177437, 'i_e_weight': 8.067245289056242, 'i_frequency': 10.03989710685915, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1818,1.9216248454817413,1.0,321,0
815,1.3153404402449644,"{'attractor_size': 64, 'background_activity': 15.24664801219513, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.12513814588722, 'e_i_weight': 3.935915892397764, 'i_e_weight': 6.112721095023596, 'i_frequency': 10.027400534646473, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",815,1.988660435511107,0.9826388888888888,283,5
909,1.3153058626925125,"{'attractor_size': 64, 'background_activity': 13.12178150759078, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 16.513091285153855, 'e_i_weight': 5.5860639533719665, 'i_e_weight': 5.007230756271706, 'i_frequency': 10.545132345986321, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",909,1.9210123046545453,1.0,292,0
1622,1.3148677189063576,"{'attractor_size': 64, 'background_activity': 12.586917766630163, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.444976504469075, 'e_i_weight': 4.757979630649318, 'i_e_weight': 5.487159077981914, 'i_frequency': 11.069625374839406, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1622,1.944796162228298,0.9931740614334471,291,2
1633,1.3146737873405379,"{'attractor_size': 64, 'background_activity': 14.600664343042343, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.30193636046338, 'e_i_weight': 3.9661061870967202, 'i_e_weight': 7.031394581541305, 'i_frequency': 10.490986151456882, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1633,1.9183182593276895,1.0,274,0
1095,1.3142413807105904,"{'attractor_size': 64, 'background_activity': 15.64293506467753, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.99032434276485, 'e_i_weight': 4.195256707798513, 'i_e_weight': 6.4938392687810635, 'i_frequency': 10.737909089431886, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1095,1.9491017831768092,0.9913419913419913,229,2
1363,1.3140939843776507,"{'attractor_size': 64, 'background_activity': 14.127209723368189, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.606942738298066, 'e_i_weight': 4.585036798015694, 'i_e_weight': 7.332301611961352, 'i_frequency': 10.016572475551577, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1363,1.9401456957584493,0.9935064935064936,306,2
816,1.3135704223348619,"{'attractor_size': 64, 'background_activity': 14.767249331164585, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.470531224632865, 'e_i_weight': 4.104842888367133, 'i_e_weight': 6.699844735868597, 'i_frequency': 10.490613501327557, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",816,1.9490361819459738,0.9905956112852664,316,3
1326,1.3134280262668445,"{'attractor_size': 64, 'background_activity': 14.064970463349825, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.01607537388526, 'e_i_weight': 4.732653234649147, 'i_e_weight': 5.000867354687081, 'i_frequency': 10.03664175146563, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1326,1.9237840169510942,0.9970845481049563,342,1
1614,1.3132788523022982,"{'attractor_size': 64, 'background_activity': 12.88072118219309, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.981378763889197, 'e_i_weight': 5.107747166764003, 'i_e_weight': 5.8881163072608915, 'i_frequency': 10.536017805873367, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1614,1.9417450240993384,0.9921568627450981,253,2
1299,1.3132620908884736,"{'attractor_size': 64, 'background_activity': 14.343203300623278, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.645008206330807, 'e_i_weight': 4.549402952077747, 'i_e_weight': 6.18543720790938, 'i_frequency': 10.537554812645002, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1299,1.9480244217438587,0.990506329113924,313,3
614,1.3130459167519546,"{'attractor_size': 64, 'background_activity': 12.774090346499818, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.76510369415828, 'e_i_weight': 4.7898054755006285, 'i_e_weight': 5.014579640092071, 'i_frequency': 10.025865844999194, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",614,1.9114027396760371,1.0,316,0
1306,1.3126858384898885,"{'attractor_size': 64, 'background_activity': 13.354237048581059, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.104877998775574, 'e_i_weight': 4.973540738115638, 'i_e_weight': 5.851332350764402, 'i_frequency': 10.55422066223645, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1306,1.9241768650697362,0.9961240310077519,257,1
1639,1.3125454101195972,"{'attractor_size': 64, 'background_activity': 13.444391494230473, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.587667894700587, 'e_i_weight': 4.4352199336661124, 'i_e_weight': 6.412902739267801, 'i_frequency': 10.017026248009524, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",1639,1.9370910031564943,0.9925373134328358,266,2
989,1.3123338131025157,"{'attractor_size': 64, 'background_activity': 15.358864083962654, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.872343508088345, 'e_i_weight': 5.0418697998955135, 'i_e_weight': 5.924359203906045, 'i_frequency': 10.00974711767211, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",989,1.9246399079977572,0.9955947136563876,226,1
798,1.3120333138760985,"{'attractor_size': 64, 'background_activity': 14.844864695774005, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.551759355963345, 'e_i_weight': 4.764891435680058, 'i_e_weight': 5.000015338716853, 'i_frequency': 10.660204204671002, 'network_size': 256, 'num_attractors': 4, 'num_cues': 10}",798,1.9318440449556518,0.9933333333333333,298,2
