,score,true_states,pred_states,params,iteration
1386,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 12.994230935692755, 'cue_length': 0.5703775700695226, 'cue_percentage': 100, 'delay_A2GO': 2.8739113569313166, 'delay_gap_A2B': 0.08383976569019416, 'e_e_max_weight': 12.069672818596544, 'e_i_weight': 4.96114821948552, 'i_e_weight': 19.02330713976902, 'i_frequency': 14.450788358556519, 'thr_GO_state': -49.296101338141504, 'w_acpt': 7.1557374389731345, 'w_trans': 8.116653158988344}",1386
1125,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 12.023383559055002, 'cue_length': 0.5687317749997971, 'cue_percentage': 100, 'delay_A2GO': 2.9014319166273497, 'delay_gap_A2B': 0.05625723364681388, 'e_e_max_weight': 12.922526826968301, 'e_i_weight': 4.573586626160357, 'i_e_weight': 17.665741663557842, 'i_frequency': 11.824980203122822, 'thr_GO_state': -50.18375190009394, 'w_acpt': 6.707634265334546, 'w_trans': 10.179141188971059}",1125
1314,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 12.347022224909367, 'cue_length': 0.5320738826434488, 'cue_percentage': 100, 'delay_A2GO': 2.90952375154668, 'delay_gap_A2B': 0.07862606252002283, 'e_e_max_weight': 14.032015445958681, 'e_i_weight': 4.224454688152476, 'i_e_weight': 16.947015542599942, 'i_frequency': 10.91098684103265, 'thr_GO_state': -49.14401606505015, 'w_acpt': 5.696009582361033, 'w_trans': 5.42456821530493}",1314
949,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 10.357993443664263, 'cue_length': 0.5129737362476977, 'cue_percentage': 100, 'delay_A2GO': 2.87372637901911, 'delay_gap_A2B': 0.04103471486755629, 'e_e_max_weight': 13.009602294040102, 'e_i_weight': 4.403935674975465, 'i_e_weight': 19.134361605758595, 'i_frequency': 14.519563482510256, 'thr_GO_state': -49.69944095725432, 'w_acpt': 6.826960775247477, 'w_trans': 7.927652989460808}",949
1637,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 12.554176137668522, 'cue_length': 0.5706594549238129, 'cue_percentage': 100, 'delay_A2GO': 2.9094618550284053, 'delay_gap_A2B': 0.0987673028115445, 'e_e_max_weight': 12.875369786365791, 'e_i_weight': 4.939422258268822, 'i_e_weight': 19.348715979669105, 'i_frequency': 16.765103264033748, 'thr_GO_state': -49.61380535339755, 'w_acpt': 7.164690068054583, 'w_trans': 7.631736948637126}",1637
482,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 19.026720048838065, 'cue_length': 0.5002850134755643, 'cue_percentage': 100, 'delay_A2GO': 2.8979563309853384, 'delay_gap_A2B': 0.03666948017672415, 'e_e_max_weight': 9.090196388292819, 'e_i_weight': 6.512467454597884, 'i_e_weight': 9.569659072681315, 'i_frequency': 18.59711787705797, 'thr_GO_state': -51.66015266783314, 'w_acpt': 7.951614659668538, 'w_trans': 8.633484820943046}",482
1325,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 11.127236682638001, 'cue_length': 0.5738371059752246, 'cue_percentage': 100, 'delay_A2GO': 2.8926058651783295, 'delay_gap_A2B': 0.07808705822169829, 'e_e_max_weight': 12.387440980099141, 'e_i_weight': 5.414783488566199, 'i_e_weight': 16.57602479145561, 'i_frequency': 11.89974523148071, 'thr_GO_state': -50.31722984520877, 'w_acpt': 7.015546663624064, 'w_trans': 8.481253918239982}",1325
786,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 11.659408105603113, 'cue_length': 0.5520650055508216, 'cue_percentage': 100, 'delay_A2GO': 2.9462653794004017, 'delay_gap_A2B': 0.06271751962039233, 'e_e_max_weight': 13.730568125584272, 'e_i_weight': 3.79832073036963, 'i_e_weight': 19.98993099406592, 'i_frequency': 20.92117532467747, 'thr_GO_state': -49.07533454622222, 'w_acpt': 6.775733206669104, 'w_trans': 6.785430588182603}",786
1313,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 10.035399211215704, 'cue_length': 0.5007750897795596, 'cue_percentage': 100, 'delay_A2GO': 2.833872303577911, 'delay_gap_A2B': 0.05848870781909795, 'e_e_max_weight': 13.36138727185181, 'e_i_weight': 4.298720457655118, 'i_e_weight': 18.000966363304098, 'i_frequency': 13.487524829760876, 'thr_GO_state': -48.85428966534328, 'w_acpt': 5.965439988940185, 'w_trans': 7.0845804717512415}",1313
1151,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 11.103655794314374, 'cue_length': 0.6199127088838234, 'cue_percentage': 100, 'delay_A2GO': 2.6790298490326836, 'delay_gap_A2B': 0.1561025815349283, 'e_e_max_weight': 9.331667454043577, 'e_i_weight': 6.443933423802202, 'i_e_weight': 8.624986228083674, 'i_frequency': 22.932159043193305, 'thr_GO_state': -43.66140369876152, 'w_acpt': 7.661669847009886, 'w_trans': 9.710563854162384}",1151
1256,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 10.4766967898253, 'cue_length': 0.5465540034659786, 'cue_percentage': 100, 'delay_A2GO': 2.998311861607572, 'delay_gap_A2B': 0.03225814183128638, 'e_e_max_weight': 13.3808748241119, 'e_i_weight': 5.02909218591838, 'i_e_weight': 11.499239861324442, 'i_frequency': 21.541168028256635, 'thr_GO_state': -49.48727456567168, 'w_acpt': 7.161872706706315, 'w_trans': 6.627272749261849}",1256
1782,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 13.405447551005874, 'cue_length': 0.6073468581796466, 'cue_percentage': 100, 'delay_A2GO': 2.939353969152816, 'delay_gap_A2B': 0.22835767702830156, 'e_e_max_weight': 11.187060672384948, 'e_i_weight': 5.804034409929917, 'i_e_weight': 13.21476875577804, 'i_frequency': 24.62811482994112, 'thr_GO_state': -43.21387495868871, 'w_acpt': 7.698856856107966, 'w_trans': 13.01157040574979}",1782
1785,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 12.328318431301165, 'cue_length': 0.5848206360206969, 'cue_percentage': 100, 'delay_A2GO': 2.830705642370726, 'delay_gap_A2B': 0.1051350406466594, 'e_e_max_weight': 12.981850521786718, 'e_i_weight': 4.337103232190794, 'i_e_weight': 18.225465184595496, 'i_frequency': 13.788391753386108, 'thr_GO_state': -49.296496557234725, 'w_acpt': 5.829182849629569, 'w_trans': 4.469474549867523}",1785
1126,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 13.36995960366487, 'cue_length': 0.5001434010737885, 'cue_percentage': 100, 'delay_A2GO': 2.88810752163962, 'delay_gap_A2B': 0.06807650148720618, 'e_e_max_weight': 13.977745132174926, 'e_i_weight': 4.70283680953486, 'i_e_weight': 18.20393544208264, 'i_frequency': 14.870803262486236, 'thr_GO_state': -49.301686181988174, 'w_acpt': 6.295287476089769, 'w_trans': 7.220270010849927}",1126
1305,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 21.493042926792008, 'cue_length': 0.6227419474654189, 'cue_percentage': 100, 'delay_A2GO': 2.697019534622423, 'delay_gap_A2B': 0.18617028226396826, 'e_e_max_weight': 9.205520931838484, 'e_i_weight': 7.441546137373335, 'i_e_weight': 7.560093672811011, 'i_frequency': 22.425170428523693, 'thr_GO_state': -47.5169015597211, 'w_acpt': 7.549920514253354, 'w_trans': 9.108265359384287}",1305
1601,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 11.853685638009662, 'cue_length': 0.5652830762585085, 'cue_percentage': 100, 'delay_A2GO': 2.8961173837443774, 'delay_gap_A2B': 0.08998330895767223, 'e_e_max_weight': 13.271121796741564, 'e_i_weight': 4.298670548966275, 'i_e_weight': 15.974179730008132, 'i_frequency': 13.593254739968781, 'thr_GO_state': -49.5494292814987, 'w_acpt': 5.942654371812825, 'w_trans': 5.312622724066372}",1601
1300,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 10.827325161471817, 'cue_length': 0.5002461413355462, 'cue_percentage': 100, 'delay_A2GO': 2.883543135347273, 'delay_gap_A2B': 0.03928825135690058, 'e_e_max_weight': 15.284243894511963, 'e_i_weight': 4.763310860861813, 'i_e_weight': 13.536553241377318, 'i_frequency': 20.389829847696834, 'thr_GO_state': -49.79008566837051, 'w_acpt': 6.910953513603823, 'w_trans': 5.256279931298901}",1300
