,score,params,iteration,recall,accuracy,triggered,spontaneous
1781,1.3461404937967332,"{'attractor_size': 64, 'background_activity': 15.111435314189132, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.005994278873603, 'e_i_weight': 4.640641214083977, 'i_e_weight': 5.290017986548276, 'i_frequency': 10.622139192106559, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1781,2.088105158523496,0.9932203389830508,293,2
882,1.3460832666139326,"{'attractor_size': 64, 'background_activity': 13.545964494054497, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.899568224039013, 'e_i_weight': 4.703113403573768, 'i_e_weight': 5.007327269371489, 'i_frequency': 11.11721378796843, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",882,2.058493379797356,1.0,303,0
1609,1.3460322028406597,"{'attractor_size': 64, 'background_activity': 14.372441866796839, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 9.867059878111366, 'e_i_weight': 4.414819431393713, 'i_e_weight': 6.154002767161812, 'i_frequency': 10.045672994369456, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1609,2.071621095007043,0.996875,319,1
1726,1.3459684151542446,"{'attractor_size': 64, 'background_activity': 15.659746538290191, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 7.15508635992388, 'e_i_weight': 4.22675788013528, 'i_e_weight': 6.150209486552867, 'i_frequency': 10.05230149868714, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1726,2.071664960548387,0.9967948717948718,311,1
684,1.3457664250539039,"{'attractor_size': 64, 'background_activity': 14.256251702637599, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.51603664074372, 'e_i_weight': 4.249960199321222, 'i_e_weight': 5.887875062588236, 'i_frequency': 10.049855021094425, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",684,2.074429008684392,0.9959349593495935,245,1
1186,1.3457638216891508,"{'attractor_size': 64, 'background_activity': 14.3000825928745, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.383898779947684, 'e_i_weight': 4.408747851033393, 'i_e_weight': 6.213245659677315, 'i_frequency': 10.008898103266342, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1186,2.070967150133493,0.9967320261437909,305,1
1607,1.3455797562813483,"{'attractor_size': 64, 'background_activity': 12.706734713954514, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.08838268136816, 'e_i_weight': 5.046467395267963, 'i_e_weight': 5.90909506106946, 'i_frequency': 10.863873076422443, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1607,2.080799634468168,0.994269340974212,347,2
1782,1.345544923135378,"{'attractor_size': 64, 'background_activity': 14.5683773854802, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.915968600154317, 'e_i_weight': 4.377551976397366, 'i_e_weight': 5.027670274776435, 'i_frequency': 10.016362021260754, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1782,2.0559775158008473,1.0,277,0
1833,1.3455418034896791,"{'attractor_size': 64, 'background_activity': 14.501306316141928, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.419641022775354, 'e_i_weight': 4.450148541807566, 'i_e_weight': 5.606573643174432, 'i_frequency': 10.56606110522883, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1833,2.067297045029609,0.9973404255319149,375,1
1455,1.3454281881573684,"{'attractor_size': 64, 'background_activity': 15.16997571696393, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 8.301148499339158, 'e_i_weight': 4.185634114233075, 'i_e_weight': 5.244903422333752, 'i_frequency': 10.018381673952888, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1455,2.079720732893791,0.9943502824858758,352,2
